"","pid.chr","data.i","position","logratio"
"1","12.X",1,3114773,-0.522
"2","12.X",2,4138433,-0.347
"3","12.X",3,5831199,-0.495
"4","12.X",4,6363569,-0.396
"5","12.X",5,6807801,-0.403
"6","12.X",6,7840835,-0.412
"7","12.X",7,8992140,-0.508
"8","12.X",8,10133499,-0.541
"9","12.X",9,11740326,-0.518
"10","12.X",10,12633035,-0.358
"11","12.X",11,14314490,-0.405
"12","12.X",12,15198599,-0.531
"13","12.X",13,15479779,-0.335
"14","12.X",14,16379938,-0.218
"15","12.X",15,16588125,-0.361
"16","12.X",16,17177188,-0.394
"17","12.X",17,18808956,-0.249
"18","12.X",18,18984784,-0.263
"19","12.X",19,20566912,-0.366
"20","12.X",20,21163847,-0.26
"21","12.X",21,21505740,-0.405
"22","12.X",22,21881096,0.009
"23","12.X",23,21970447,-0.358
"24","12.X",24,22013980,-0.344
"25","12.X",25,23157207,-0.369
"26","12.X",26,24709049,-0.358
"27","12.X",27,27044795,-0.3
"28","12.X",28,30313090,-0.262
"29","12.X",29,30355080,-0.271
"30","12.X",30,31492135,-0.24
"31","12.X",31,31749009,-0.508
"32","12.X",32,32672124,-0.327
"33","12.X",33,33989928,-0.318
"34","12.X",34,34149896,-0.256
"35","12.X",35,35459256,-0.432
"36","12.X",36,37239151,-0.463
"37","12.X",37,38021980,-0.253
"38","12.X",38,38845962,-0.284
"39","12.X",39,39525004,-0.356
"40","12.X",40,40721573,-0.223
"41","12.X",41,40964763,-0.108
"42","12.X",42,41977417,-0.271
"43","12.X",43,43229177,-0.372
"44","12.X",44,43240235,-0.398
"45","12.X",45,43240508,-0.18
"46","12.X",46,44358323,-0.17
"47","12.X",47,44466960,-0.215
"48","12.X",48,45918104,-0.259
"49","12.X",49,45918119,-0.309
"50","12.X",50,47094184,-0.237
"51","12.X",51,47149087,-0.338
"52","12.X",52,47882057,-0.512
"53","12.X",53,48174426,-0.138
"54","12.X",54,49526980,-0.376
"55","12.X",55,49543780,-0.218
"56","12.X",56,50860194,-0.314
"57","12.X",57,51036616,-0.122
"58","12.X",58,51060132,-0.153
"59","12.X",59,52484434,-0.494
"60","12.X",60,52613516,-0.412
"61","12.X",61,53025688,-0.37
"62","12.X",62,53953483,-0.175
"63","12.X",63,54943141,-0.238
"64","12.X",64,55300128,-0.268
"65","12.X",65,56437624,-0.083
"66","12.X",66,57346979,-0.014
"67","12.X",67,57676612,0.039
"68","12.X",68,58201229,0.21
"69","12.X",69,58239126,0.021
"70","12.X",70,61984989,0.02
"71","12.X",71,62869566,0.142
"72","12.X",72,63088874,-0.003
"73","12.X",73,63877816,0.024
"74","12.X",74,64678210,-0.031
"75","12.X",75,65974478,0.054
"76","12.X",76,66444106,-0.081
"77","12.X",77,69227998,-0.02
"78","12.X",78,70161598,-0.109
"79","12.X",79,70468496,0.045
"80","12.X",80,70654274,0.004
"81","12.X",81,70713516,0.011
"82","12.X",82,71457679,-0.082
"83","12.X",83,72391334,0.088
"84","12.X",84,72896004,0.017
"85","12.X",85,73140427,0.017
"86","12.X",86,73166400,-0.067
"87","12.X",87,73169270,-0.035
"88","12.X",88,73881567,0.032
"89","12.X",89,73910791,0.015
"90","12.X",90,74978810,0.096
"91","12.X",91,74979004,0.016
"92","12.X",92,75599833,-0.044
"93","12.X",93,77111633,-0.053
"94","12.X",94,79544292,0.047
"95","12.X",95,81339319,-0.023
"96","12.X",96,81946504,0.021
"97","12.X",97,83282931,0.029
"98","12.X",98,84937961,-0.081
"99","12.X",99,84971940,-0.132
"100","12.X",100,85828895,0.003
"101","12.X",101,87854590,0.016
"102","12.X",102,90807062,-0.006
"103","12.X",103,91251644,0.01
"104","12.X",104,92239615,-0.012
"105","12.X",105,92462450,0.019
"106","12.X",106,93640502,-0.048
"107","12.X",107,94490130,0.024
"108","12.X",108,94810825,-0.058
"109","12.X",109,95933298,-0.002
"110","12.X",110,97118552,-0.019
"111","12.X",111,98030466,-0.024
"112","12.X",112,99130580,-0.003
"113","12.X",113,99293405,0.029
"114","12.X",114,99606775,-0.105
"115","12.X",115,100403489,0.024
"116","12.X",116,101868569,0.015
"117","12.X",117,103213993,-0.055
"118","12.X",118,104914165,-0.022
"119","12.X",119,105841731,0.027
"120","12.X",120,106431803,-0.061
"121","12.X",121,107156265,-0.135
"122","12.X",122,108719433,-0.186
"123","12.X",123,110277666,-0.592
"124","12.X",124,111117818,-0.418
"125","12.X",125,112558176,-0.441
"126","12.X",126,113992806,-0.321
"127","12.X",127,114016334,-0.308
"128","12.X",128,116156229,-0.242
"129","12.X",129,116768866,-0.252
"130","12.X",130,117985991,-0.393
"131","12.X",131,117985992,-0.391
"132","12.X",132,119341125,-0.308
"133","12.X",133,119341139,-0.325
"134","12.X",134,120578678,-0.28
"135","12.X",135,120579120,-0.29
"136","12.X",136,122038749,-0.543
"137","12.X",137,122048812,-0.569
"138","12.X",138,122650384,-0.186
"139","12.X",139,123641749,-0.396
"140","12.X",140,124895940,-0.309
"141","12.X",141,125034483,-0.273
"142","12.X",142,126304474,-0.419
"143","12.X",143,126611988,-0.254
"144","12.X",144,127834140,-0.384
"145","12.X",145,128194937,-0.231
"146","12.X",146,130122759,-0.304
"147","12.X",147,131583084,-0.457
"148","12.X",148,132119932,-0.305
"149","12.X",149,132706641,-0.33
"150","12.X",150,133236543,-0.364
"151","12.X",151,133379015,-0.449
"152","12.X",152,134703002,-0.468
"153","12.X",153,134703250,-0.491
"154","12.X",154,135952815,-0.391
"155","12.X",155,137184042,-0.279
"156","12.X",156,137184428,-0.341
"157","12.X",157,138610293,-0.378
"158","12.X",158,138744987,-0.177
"159","12.X",159,139009110,-0.337
"160","12.X",160,139945612,-0.313
"161","12.X",161,140109730,-0.228
"162","12.X",162,141740494,-0.447
"163","12.X",163,141879051,-0.509
"164","12.X",164,142626853,-0.423
"165","12.X",165,144036815,-0.3625
"166","12.X",166,144279252,-0.324
"167","12.X",167,145631944,-0.396
"168","12.X",168,146213571,-0.496
"169","12.X",169,146616971,-0.357
"170","12.X",170,146654619,-0.226
"171","12.X",171,146696647,-0.362
"172","12.X",172,147335359,-0.453
"173","12.X",173,147341011,-0.5
"174","12.X",174,147444478,-0.444
"175","12.X",175,149195340,-0.521
"176","12.X",176,150237683,-0.354
"177","12.X",177,150642883,-0.666
"178","12.X",178,152422899,-0.291
"179","12.X",179,152631416,-0.434
"180","12.X",180,152631670,-0.445
"181","12.X",181,152669265,-0.287
"182","12.X",182,152669414,-0.291
"183","12.X",183,153013481,-0.539
"184","12.X",184,153117960,-0.32
"185","12.X",185,153283731,-0.337
"186","12.X",186,153694414,-0.372
"187","12.X",187,154620170,-0.179
