"","pid.chr","data.i","position","logratio"
"1","20175.X",1,168465,-0.986157
"2","20175.X",2,169805,-0.656265
"3","20175.X",3,169922,-0.843506
"4","20175.X",4,202439,-0.69351
"5","20175.X",5,202664,-0.590824
"6","20175.X",6,208270,-1.10621
"7","20175.X",7,219978,-0.222503
"8","20175.X",8,229542,-0.491406
"9","20175.X",9,229816,-0.325671
"10","20175.X",10,297021,-0.11513
"11","20175.X",11,309434,-0.633557
"12","20175.X",12,310882,-0.702651
"13","20175.X",13,310897,-0.756441
"14","20175.X",14,313595,-0.454914
"15","20175.X",15,320203,-1.28998
"16","20175.X",16,320580,-0.272558
"17","20175.X",17,333275,-0.531836
"18","20175.X",18,342775,-1.53689
"19","20175.X",19,343619,-0.888813
"20","20175.X",20,343735,-0.472509
"21","20175.X",21,343777,-0.836783
"22","20175.X",22,343945,-0.962813
"23","20175.X",23,343961,-1.49741
"24","20175.X",24,344026,-0.614281
"25","20175.X",25,345795,-0.0109341
"26","20175.X",26,351504,-0.853603
"27","20175.X",27,353979,-0.213857
"28","20175.X",28,356282,-0.538298
"29","20175.X",29,356283,-0.554039
"30","20175.X",30,361199,-0.190245
"31","20175.X",31,377864,-0.806891
"32","20175.X",32,381772,-0.707091
"33","20175.X",33,387713,-0.692415
"34","20175.X",34,387732,-0.804244
"35","20175.X",35,387749,-0.301447
"36","20175.X",36,387763,-0.383023
"37","20175.X",37,400108,-0.29231
"38","20175.X",38,401510,-0.261674
"39","20175.X",39,401587,-0.445775
"40","20175.X",40,401790,-0.693669
"41","20175.X",41,404868,-1.34136
"42","20175.X",42,416212,-0.0155278
"43","20175.X",43,416470,-0.502489
"44","20175.X",44,420296,-0.553919
"45","20175.X",45,450982,0.0809475
"46","20175.X",46,451048,-0.80516
"47","20175.X",47,451142,-0.484404
"48","20175.X",48,468364,-0.767519
"49","20175.X",49,480575,0.00441192
"50","20175.X",50,480645,-0.563048
"51","20175.X",51,480923,-0.0990039
"52","20175.X",52,492064,0.0566154
"53","20175.X",53,492188,0.21644
"54","20175.X",54,492484,0.154535
"55","20175.X",55,498635,-0.103148
"56","20175.X",56,504354,-0.417342
"57","20175.X",57,513369,-0.36436
"58","20175.X",58,513590,-0.0235822
"59","20175.X",59,515011,-0.466237
"60","20175.X",60,515124,-0.296674
"61","20175.X",61,515293,-0.819714
"62","20175.X",62,515622,-0.842291
"63","20175.X",63,516681,-0.859611
"64","20175.X",64,516764,-0.260978
"65","20175.X",65,521994,-0.882403
"66","20175.X",66,524464,-0.64888
"67","20175.X",67,528482,-0.672944
"68","20175.X",68,528798,-0.488566
"69","20175.X",69,529017,-0.224771
"70","20175.X",70,532467,-0.886603
"71","20175.X",71,532611,-0.805346
"72","20175.X",72,535088,-0.448683
"73","20175.X",73,537186,-0.448187
"74","20175.X",74,539358,-0.850434
"75","20175.X",75,539491,-0.358705
"76","20175.X",76,539724,-0.898034
"77","20175.X",77,542768,-0.582629
"78","20175.X",78,548028,-0.406228
"79","20175.X",79,553070,-0.44416
"80","20175.X",80,562048,0.0581818
"81","20175.X",81,562076,-0.255045
"82","20175.X",82,562097,-0.367778
"83","20175.X",83,565914,-0.758904
"84","20175.X",84,565954,-0.360961
"85","20175.X",85,566183,-0.341554
"86","20175.X",86,570774,-0.0870037
"87","20175.X",87,571066,-0.342351
"88","20175.X",88,579546,-0.537187
"89","20175.X",89,581870,-0.453546
"90","20175.X",90,582003,-0.406289
"91","20175.X",91,582062,-0.623049
"92","20175.X",92,582185,-0.810099
"93","20175.X",93,599294,-0.338646
