"","pid.chr","data.i","position","logratio"
"1","20134.X",1,72101,-0.287
"2","20134.X",2,150728,-0.227
"3","20134.X",3,181684,-0.02
"4","20134.X",4,230555,-0.298
"5","20134.X",5,298750,-0.556
"6","20134.X",6,320114,-0.758
"7","20134.X",7,375812,-0.278
"8","20134.X",8,404098,-0.571
"9","20134.X",9,452162,-0.173
"10","20134.X",10,480257,0.05
"11","20134.X",11,522059,-0.36
"12","20134.X",12,572993,-0.034
"13","20134.X",13,607117,-0.962
"14","20134.X",14,643675,-0.231
"15","20134.X",15,684963,-0.171
"16","20134.X",16,736092,-0.281
"17","20134.X",17,765835,-0.083
"18","20134.X",18,818177,0.057
"19","20134.X",19,852162,-0.118
"20","20134.X",20,897936,-0.195
"21","20134.X",21,920972,-0.079
"22","20134.X",22,966831,-0.165
"23","20134.X",23,1001757,-0.21
"24","20134.X",24,1045791,-0.068
"25","20134.X",25,1099226,-0.03
"26","20134.X",26,1124797,0.107
"27","20134.X",27,1195058,-0.442
"28","20134.X",28,1238935,-0.304
"29","20134.X",29,1262114,-0.027
"30","20134.X",30,1319766,-0.096
"31","20134.X",31,1346682,-0.065
"32","20134.X",32,1383701,0.069
"33","20134.X",33,1435213,-0.259
"34","20134.X",34,1477711,-0.257
"35","20134.X",35,1510254,0.033
"36","20134.X",36,1543980,-0.281
"37","20134.X",37,1594591,-0.336
"38","20134.X",38,1627372,-0.453
"39","20134.X",39,1673537,-0.333
"40","20134.X",40,1702252,-0.377
"41","20134.X",41,1752062,-0.06
"42","20134.X",42,1784541,-0.422
"43","20134.X",43,1835235,-0.063
"44","20134.X",44,1874267,-0.064
"45","20134.X",45,1918429,0.172
"46","20134.X",46,1940851,-0.161
"47","20134.X",47,1989675,-0.104
"48","20134.X",48,2023284,-0.027
"49","20134.X",49,2062731,-0.308
"50","20134.X",50,2129583,-0.21
"51","20134.X",51,2151932,-0.056
"52","20134.X",52,2209156,0.172
"53","20134.X",53,2248988,-0.275
"54","20134.X",54,2279804,-0.245
"55","20134.X",55,2328573,-0.123
"56","20134.X",56,2353317,-0.208
"57","20134.X",57,2404400,-0.208
"58","20134.X",58,2439437,-0.145
"59","20134.X",59,2475117,-0.039
"60","20134.X",60,2528247,-0.913
"61","20134.X",61,2560222,-0.255
"62","20134.X",62,2595392,-0.221
"63","20134.X",63,2646040,-0.025
"64","20134.X",64,2671343,0.631
"65","20134.X",65,2728440,-0.196
"66","20134.X",66,2751506,-0.582
"67","20134.X",67,2796861,-0.998
"68","20134.X",68,2838000,-0.538
"69","20134.X",69,2881974,-0.196
"70","20134.X",70,2917441,-0.908
"71","20134.X",71,2956775,-0.45
"72","20134.X",72,2993357,0.022
"73","20134.X",73,3042829,-0.091
"74","20134.X",74,3089805,-0.754
"75","20134.X",75,3122519,-0.762
"76","20134.X",76,3160887,-0.399
"77","20134.X",77,3204334,-0.391
"78","20134.X",78,3238640,-0.759
"79","20134.X",79,3284777,-0.751
"80","20134.X",80,3329895,-0.444
"81","20134.X",81,3350104,-0.737
"82","20134.X",82,3408131,-1.046
"83","20134.X",83,3449449,-0.211
"84","20134.X",84,3486878,-0.36
"85","20134.X",85,3529050,-0.245
"86","20134.X",86,3565003,-0.506
"87","20134.X",87,3603594,-0.142
"88","20134.X",88,3633541,-0.373
"89","20134.X",89,3679888,-0.051
"90","20134.X",90,3712903,-0.31
"91","20134.X",91,3752621,-1.424
"92","20134.X",92,3795610,-1.776
"93","20134.X",93,3842108,-1.46
"94","20134.X",94,3876221,-0.582
"95","20134.X",95,3918516,-1.279
"96","20134.X",96,3964700,-0.46
"97","20134.X",97,3994370,-0.868
