"","pid.chr","data.i","position","logratio"
"1","20133.X",1,72101,-0.22
"2","20133.X",2,150728,-0.111
"3","20133.X",3,181684,0.116
"4","20133.X",4,230555,-0.185
"5","20133.X",5,298750,-0.559
"6","20133.X",6,320114,-0.025
"7","20133.X",7,375812,-0.085
"8","20133.X",8,404098,0.092
"9","20133.X",9,452162,0.002
"10","20133.X",10,480257,-0.062
"11","20133.X",11,522059,-0.08
"12","20133.X",12,572993,-0.118
"13","20133.X",13,607117,-0.803
"14","20133.X",14,643675,0.167
"15","20133.X",15,684963,-0.303
"16","20133.X",16,736092,-0.099
"17","20133.X",17,765835,0.111
"18","20133.X",18,818177,0.208
"19","20133.X",19,852162,-0.29
"20","20133.X",20,897936,-0.091
"21","20133.X",21,920972,0.303
"22","20133.X",22,966831,0.009
"23","20133.X",23,1001757,0.151
"24","20133.X",24,1045791,-0.079
"25","20133.X",25,1099226,0.1
"26","20133.X",26,1124797,0.154
"27","20133.X",27,1195058,-0.181
"28","20133.X",28,1238935,-0.074
"29","20133.X",29,1262114,-0.133
"30","20133.X",30,1319766,-0.296
"31","20133.X",31,1346682,-0.056
"32","20133.X",32,1383701,-0.138
"33","20133.X",33,1435213,0.047
"34","20133.X",34,1477711,0.067
"35","20133.X",35,1510254,-0.356
"36","20133.X",36,1543980,0.017
"37","20133.X",37,1594591,-0.091
"38","20133.X",38,1627372,0.006
"39","20133.X",39,1673537,0.118
"40","20133.X",40,1702252,0.084
"41","20133.X",41,1752062,0.713
"42","20133.X",42,1784541,-0.104
"43","20133.X",43,1835235,0.07
"44","20133.X",44,1874267,0.066
"45","20133.X",45,1918429,0.017
"46","20133.X",46,1940851,0.001
"47","20133.X",47,1989675,0.049
"48","20133.X",48,2023284,0.065
"49","20133.X",49,2062731,0.091
"50","20133.X",50,2129583,-0.011
"51","20133.X",51,2151932,0.189
"52","20133.X",52,2209156,0.507
"53","20133.X",53,2248988,0.031
"54","20133.X",54,2279804,-0.279
"55","20133.X",55,2328573,-0.014
"56","20133.X",56,2353317,-0.161
"57","20133.X",57,2404400,0.035
"58","20133.X",58,2439437,-0.105
"59","20133.X",59,2475117,-0.016
"60","20133.X",60,2528247,-0.72
"61","20133.X",61,2560222,-0.164
"62","20133.X",62,2595392,0.044
"63","20133.X",63,2646040,-0.075
"64","20133.X",64,2671343,0.379
"65","20133.X",65,2728440,0.056
"66","20133.X",66,2751506,-0.23
"67","20133.X",67,2796861,-0.578
"68","20133.X",68,2838000,-0.495
"69","20133.X",69,2881974,0.023
"70","20133.X",70,2917441,-0.739
"71","20133.X",71,2956775,-0.099
"72","20133.X",72,2993357,0.219
"73","20133.X",73,3042829,-0.074
"74","20133.X",74,3089805,-0.394
"75","20133.X",75,3122519,-0.79
"76","20133.X",76,3160887,-0.127
"77","20133.X",77,3204334,-0.289
"78","20133.X",78,3238640,-0.4
"79","20133.X",79,3284777,-0.375
"80","20133.X",80,3329895,-0.204
"81","20133.X",81,3350104,-0.578
"82","20133.X",82,3408131,-0.889
"83","20133.X",83,3449449,0.238
"84","20133.X",84,3486878,-0.347
"85","20133.X",85,3529050,-0.251
"86","20133.X",86,3565003,-0.23
"87","20133.X",87,3603594,0.03
"88","20133.X",88,3633541,-0.029
"89","20133.X",89,3679888,0.094
"90","20133.X",90,3712903,-0.281
"91","20133.X",91,3752621,-1.372
"92","20133.X",92,3795610,-0.936
