"","pid.chr","data.i","position","logratio"
"1","106.6",1,91471,-0.001
"2","106.6",2,230896,-0.133
"3","106.6",3,230897,0.032
"4","106.6",4,1381097,0.092
"5","106.6",5,1942880,0.081
"6","106.6",6,2641344,0.157
"7","106.6",7,3871886,0.093
"8","106.6",8,4566971,0.117
"9","106.6",9,4901460,0.02
"10","106.6",10,5801028,-0.082
"11","106.6",11,5987282,0.113
"12","106.6",12,5998500,-0.021
"13","106.6",13,7184688,0.101
"14","106.6",14,7898224,0.083
"15","106.6",15,9358225,0.117
"16","106.6",16,9462922,0.011
"17","106.6",17,10943775,0.117
"18","106.6",18,12238026,0.118
"19","106.6",19,13207883,0.099
"20","106.6",20,14747896,0.146
"21","106.6",21,15945331,0.045
"22","106.6",22,16361867,0.136
"23","106.6",23,16369790,0.103
"24","106.6",24,16384712,0.139
"25","106.6",25,16404307,0.101
"26","106.6",26,17955013,0.015
"27","106.6",27,18145785,0.039
"28","106.6",28,19933669,0.18
"29","106.6",29,20509681,0.093
"30","106.6",30,21715964,0.003
"31","106.6",31,22030849,0.128
"32","106.6",32,23158209,0.057
"33","106.6",33,24412425,0.01
"34","106.6",34,24851794,0.187
"35","106.6",35,25161491,0.11
"36","106.6",36,26033294,0.099
"37","106.6",37,26116482,0.08
"38","106.6",38,26134514,0.01
"39","106.6",39,26428605,0.087
"40","106.6",40,26934770,0.112
"41","106.6",41,27897643,0.036
"42","106.6",42,28581949,0.082
"43","106.6",43,29131928,0.045
"44","106.6",44,29862905,0.058
"45","106.6",45,31605475,-0.057
"46","106.6",46,31814420,0.101
"47","106.6",47,31815343,0.023
"48","106.6",48,32021102,0.072
"49","106.6",49,33315686,0.074
"50","106.6",50,35125000,0.08
"51","106.6",51,35571718,-0.018
"52","106.6",52,36260975,0.102
"53","106.6",53,36664220,0.127
"54","106.6",54,36721906,0.115
"55","106.6",55,36721925,0.127
"56","106.6",56,36730956,-0.09
"57","106.6",57,36751303,0.055
"58","106.6",58,37143311,0.118
"59","106.6",59,37181210,0.106
"60","106.6",60,37191443,0.065
"61","106.6",61,37202711,0.129
"62","106.6",62,37222850,0.069
"63","106.6",63,37243410,0.15
"64","106.6",64,38488141,-0.144
"65","106.6",65,39738096,-0.13
"66","106.6",66,41255758,0.149
"67","106.6",67,41910178,-0.054
"68","106.6",68,43123858,0.16
"69","106.6",69,44229180,0.057
"70","106.6",70,44840910,0.031
"71","106.6",71,44877002,-0.093
"72","106.6",72,45976618,0.01
"73","106.6",73,47505731,0
"74","106.6",74,48122339,0.122
"75","106.6",75,49237409,-0.011
"76","106.6",76,49237585,0.084
"77","106.6",77,49307108,-0.141
"78","106.6",78,50889177,0.152
"79","106.6",79,52270021,-0.016
"80","106.6",80,52410513,0.075
"81","106.6",81,53789427,0.065
"82","106.6",82,55030950,0.06
"83","106.6",83,55664199,-0.09
"84","106.6",84,56208767,0.087
"85","106.6",85,57272533,0.068
"86","106.6",86,58429565,0.345
"87","106.6",87,58709526,-0.149
"88","106.6",88,58709797,0.006
"89","106.6",89,58711326,0.063
"90","106.6",90,62399682,0.167
"91","106.6",91,64539604,-0.038
"92","106.6",92,64906513,0.077
"93","106.6",93,65992267,0.062
"94","106.6",94,67141039,0.291
"95","106.6",95,68213801,0.079
"96","106.6",96,71408802,0.054
"97","106.6",97,71515135,0.094
"98","106.6",98,72513138,0.031
"99","106.6",99,73016383,0.134
"100","106.6",100,74097866,0.004
"101","106.6",101,76118239,0.121
"102","106.6",102,76145606,0.183
"103","106.6",103,78198693,0.109
"104","106.6",104,78947237,0.114
"105","106.6",105,80213244,0.031
